context,question,answer,source_url,category,title,org
。将养老护理员培训作为职业培训和促进就业的重要内容。推动广安职业技术学院等高（中）职业院校（学校）开设养老服务相关专业。将养老护理员职业技能培训纳入政府购买培训成果补贴政策。经市级（含）以上民政或人力资源社会保障部门组织培训，并考核合格的，给予特岗补贴，具体标准按照广安府函〔2015〕154号执行。鼓励从业人员参加职业技能鉴定，完善职业技能等级与养老服务人员薪酬待遇挂钩机制,"哪些机构被推动开设养老服务相关专业？
",广安职业技术学院等高（中）职业院校（学校）被推动开设养老服务相关专业。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
。建立养老服务就业补贴制度，普通高等院校、高等职业技术学院和中等职业技术学校（技工院校）全日制毕业生，进入养老机构、社区养老服务驿站或日间照料中心从事养老护理工作的，干满5年可享受一次性养老服务就业补贴（第5年一次性支付），标准为：普通高等院校毕业生为3万元、高等职业技术学院和中等职业技术学校（技工院校）毕业生为2万元。开展养老人才培养改革试点，打通养老服务人才晋级渠道。全面提升养老护理队伍职业道德素养。（十九）完善财税支持政策。加大财政支持力度，采取贷款贴息、项目补助、以奖代补等方式，加大对养老服务重点领域和重点项目的资助、扶持,"全日制毕业生在哪些机构从事养老护理工作满5年后可享受一次性养老服务就业补贴？
",全日制毕业生在养老机构、社区养老服务驿站或日间照料中心从事养老护理工作满5年后可享受一次性养老服务就业补贴。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
"各区市县人民政府，广安经开区、枣山园区、协兴园区、华蓥山景区管委会，市级有关部门：为促进养老服务业更好更快发展，全面放开养老服务市场提升养老服务质量，根据《四川省人民政府办公厅关于全面放开养老服务市场提升养老服务质量的实施意见》（川办发〔2018〕5号）精神，结合我市实际,提出以下实施意见","养老服务质量提升的目标是什么？
",目标是促进养老服务业更好更快发展，全面放开养老服务市场。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
。坚持以规划为导向，切实发挥规划引领作用。各区市县（园区）要根据《广安市人民政府关于印发广安市“十三五”老龄事业发展和养老体系建设规划的通知》（广安府发〔2017〕31号）要求，分级制定养老服务相关规划，与城乡规划、土地利用总体规划、城镇化规划、区域规划等相衔接，并纳入控制性详细规划实施，系统提升服务能力和水平。各地要进一步扩大面向居家社区、农村、失能半失能老年人的服务种类，结合实际提出养老床位结构的合理比例，制定鼓励护理型床位建设的政策措施，确保到2020年护理型床位占当地养老床位总数的比例应不低于30%。（十七）完善土地支持政策,"广安市“十三五”老龄事业发展和养老体系建设规划要求各区市县（园区）做什么？
",广安市“十三五”老龄事业发展和养老体系建设规划要求各区市县（园区）根据该通知要求，分级制定养老服务相关规划，与城乡规划、土地利用总体规划、城镇化规划、区域规划等相衔接，并纳入控制性详细规划实施，系统提升服务能力和水平。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
。到2020年，全市政府运营的养老床位数占养老床位总数的比例不超过50%，护理型床位占养老床位总数的比例不低于30%，依托华蓥山红色旅游融合发展示范区，培育1—2个养老服务品牌，打造全市医养体旅的先行示范区，90%以上的城镇社区和60%以上的农村社区纳入居家社区养老服务网络。二、主要任务（一）降低准入门槛。自然人、法人和其他组织设立营利性养老服务企业，均可依法向工商行政管理（市场监督管理）部门申请注册登记。非本市投资者举办养老服务项目与本市投资者享受同等政策待遇。鼓励境外投资者来广安举办非营利性养老机构，其设立的非营利性养老机构与境内投资者设立的非营利性养老机构享受同等优惠政策,"到2020年，广安市计划将政府运营的养老床位数占全市养老床位总数的比例控制在多少以内？
",到2020年，广安市计划将政府运营的养老床位数占养老床位总数的比例不超过50%。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
。对于1998年9月以前建设使用，且未发生改、扩建（含室内外装修、建筑保温、用途变更），或者建筑面积在300平方米以下，或者投资30万元以下的养老机构、设施，不需要办理消防设计审核、消防验收或备案手续，但须满足消防安全技术规范要求，其他养老机构依法办理消防审验或备案手续。（四）完善价格形成机制。加快建立以市场形成价格为主的养老机构服务收费管理机制。对民办营利性养老机构，服务收费项目和标准由经营者自主确定。对民办非营利性养老机构，服务收费标准由经营者合理确定，发改、民政部门对其财务收支状况、收费项目和调价频次进行必要监管，同时加强对价格水平的分析监测,"哪些养老机构不需要办理消防设计审核、消防验收或备案手续？
",1998年9月以前建设使用，且未发生改、扩建（含室内外装修、建筑保温、用途变更），或者建筑面积在300平方米以下，或者投资30万元以下的养老机构、设施不需要办理消防设计审核、消防验收或备案手续。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
。通过政府补贴、产业引导和业主众筹等方式，加快推进老旧居住小区和老年人家庭的无障碍改造，重点做好居住区缘石坡道、轮椅坡道、公共出入口、走道、楼梯、电梯候梯厅及轿厢等设施和部位的无障碍改造。把老旧住宅增设电梯工作纳入“百万安居工程建设行动”加以实施，将符合条件的既有住宅电梯增设项目纳入市级奖补范围实行以奖代补。加强养老服务设施节能宜居改造，将各类养老机构和服务设施纳入“城市基础设施建设年行动”重点扶持范围。在推进易地扶贫搬迁以及城镇棚户区、农村危房改造等保障性安居工程中，统筹考虑适老化设施配套建设。（十二）加快养老服务信息化建设。推进“互联网+”养老服务创新，发展智慧养老服务新业态,"哪些方式被用于加快老旧居住小区和老年人家庭无障碍改造？
",加快老旧居住小区和老年人家庭无障碍改造的方式包括政府补贴、产业引导和业主众筹。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
。市发展改革委和市民政局要会同各有关部门加强对各区市县（园区）的指导，及时督促检查并报告工作进展情况。本实施意见从发布之日起施行，有效期5年。附件：广安市全面放开养老服务市场提升养老服务质量目标任务安排表广安市人民政府办公室2018年12月28日广安市全面放开养老服务市场提升养老服务质量目标任务安排表(common/preview_resource.action?id=319ec49dd4254799835fd04a214d03ed&type=doc&jcrVer=1.0)相关附件：二维码开始扫一扫在手机打开当前页用来校验该浏览器是否支持HTML5,"广安市全面放开养老服务市场提升养老服务质量目标任务安排表的有效期是多少年？
",广安市全面放开养老服务市场提升养老服务质量目标任务安排表的有效期是5年。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
。（九）加快推进医养融合发展。鼓励有条件的养老机构依法开办医疗机构，符合条件的按规定纳入城乡基本医疗保险定点范围。鼓励符合条件的执业医师到养老机构、社区老年照料机构内设的医疗机构多点执业。开通预约就诊绿色通道，为老年人提供便捷医疗服务。提升医保经办服务能力，实现老年人异地就医即时结算。支持和推广在日间照料中心、社区居家养老服务中心内嵌入“健康小屋”，为老年人提供健康检查、指导和管理以及康复护理等健康养老服务。“十三五”期间，每个区市县至少建成2所、园区至少建成1所规模适度、功能完善、管理规范的医养结合养老服务机构。（十）提升农村养老服务能力和水平,"鼓励哪些机构依法开办医疗机构？
",鼓励有条件的养老机构依法开办医疗机构。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
。推进“互联网+”养老服务创新，发展智慧养老服务新业态。支持养老服务机构、社区、社会组织和企业利用物联网、移动互联网和云计算、大数据等信息技术，开发应用智能终端和居家社区养老服务智慧平台、信息系统、APP应用等，重点拓展远程提醒和控制、自动报警和处置、动态监测和记录等功能，建设虚拟养老院。打通养老服务信息共享渠道，实现养老综合服务信息平台与户籍、医疗、社会保障等信息资源对接。（十三）探索建立长期护理保障制度。探索建立由长期护理保险、商业性护理保险、护理补贴、护理救助等相互衔接、互为补充的长期护理保障制度，增强老年人接受长期护理照料的支付能力,"什么是推进“互联网+”养老服务创新的主要技术手段？
",推进“互联网+”养老服务创新主要利用物联网、移动互联网、云计算和大数据等信息技术。,https://www.guang-an.gov.cn/gasrmzfw/c104243/pc/content/content_1733353216818548736.html,民政、扶贫、救灾,广安市人民政府办公室关于全面放开养老服务市场提升养老服务质量的实施意见,广安市人民政府办公室
